17.3966864,78.3696872,17.396609,78.3699208,.3562,.3117,.3845,4.5,SlightyBumpy,23:31:18,0,2,2,2,0,0,0,0,0,0,0,0,0,0,2,
17.3965953,78.3699587,17.3964944,78.3702487,.1514,.1781,.2218,7.5,Bumpy,23:31:24,1,1,0,2,2,1,
17.3964944,78.3702487,17.3964093,78.3705202,.234,.2649,.3197,4,Good,23:31:28,2,1,1,0,
17.3964093,78.3705202,17.3963408,78.3706691,.1129,.3277,.1295,4.25,Worst,23:31:33,0,0,0,1,2,
17.3963408,78.3706691,17.3962778,78.3708118,.4082,.037,.6034,4,Bumpy,23:31:38,0,0,1,3,1,
17.3962626,78.3708535,17.3961974,78.3710701,.1957,.2098,.168,4.75,Bumpy,23:31:44,0,0,1,1,1,2,1,
17.396182,78.3711079,17.3961305,78.371235,.2428,.2177,.174,3,Worst,23:31:49,1,1,2,1,2,
17.3961209,78.3712555,17.3960728,78.3713747,.1212,.1735,.4961,4.5,Good,23:31:53,1,2,2,0,
17.3960728,78.3713747,17.3959917,78.3715649,.2605,.3382,.3546,4.75,Worst,23:31:58,0,1,1,2,2,
17.3959917,78.3715649,17.3959137,78.3717683,.2223,.1375,.2199,4.5,Worst,23:32:03,1,2,1,2,2,
17.3959137,78.3717683,17.3958151,78.3720059,.1582,.2083,.2142,5.25,Bumpy,23:32:09,2,0,2,2,1,2,
17.3958151,78.3720059,17.3957623,78.3721429,.1627,.1328,.2254,5.25,Worst,23:32:13,1,0,0,1,
17.3957232,78.3722401,17.3956207,78.3724235,.2377,.127,.3357,5.5,Worst,23:32:18,2,0,0,2,
17.3956217,78.3724894,17.3955623,78.3727148,.3203,.1286,.3136,5.5,Worst,23:32:23,2,1,2,1,
17.3955623,78.3727148,17.3954678,78.3729259,.2468,.2788,.2759,5,Worst,23:32:28,0,1,2,1,2,
17.3954678,78.3729259,17.3953669,78.3731694,.3079,.3463,.318,5,Bumpy,23:32:33,1,0,1,1,1,2,
17.3953669,78.3731694,17.3952554,78.3733674,.1959,.2289,.4242,4.5,Good,23:32:38,2,2,0,0,0,
17.3952554,78.3733674,17.395181,78.3734599,.2639,.1004,.168,2.25,Good,23:32:43,0,1,0,0,0,
17.395181,78.3734599,17.3951492,78.373349,.1684,.1653,.2051,3.75,Bumpy,23:32:48,1,2,0,0,1,
17.3951492,78.373349,17.3952553,78.3731271,.1194,.1936,.1709,5.25,Bumpy,23:32:53,1,0,1,1,1,
17.3952553,78.3731271,17.3953374,78.3729038,.115,.3495,.1672,4.5,Bumpy,23:32:58,2,2,1,0,1,
17.3953374,78.3729038,17.3954246,78.3726914,.1287,.119,.2516,5,Bumpy,23:33:03,2,2,1,1,1,
17.3954246,78.3726914,17.3955385,78.3724632,.2309,.3344,.2795,5.25,Worst,23:33:08,1,1,0,1,2,
17.3955385,78.3724632,17.3956724,78.3722039,.1471,.1508,.2865,6,Bumpy,23:33:13,2,2,2,2,1,
17.3956724,78.3722039,17.3957723,78.3719501,.1266,.1462,.1185,6,Bumpy,23:33:18,1,1,0,1,1,
17.3957723,78.3719501,17.3958542,78.371677,.1947,.2855,.1224,6,Bumpy,23:33:23,1,1,1,2,1,
17.3958542,78.371677,17.3959533,78.3714476,.0618,.2846,.0797,5.5,Bumpy,23:33:28,1,2,1,0,1,
17.3959533,78.3714476,17.3960548,78.3712064,.0544,.1646,.1637,5.25,Good,23:33:33,1,1,1,1,0,
17.3960548,78.3712064,17.3961333,78.3709392,.1894,.1636,.3706,6.25,Worst,23:33:38,0,0,0,1,2,
17.3961333,78.3709392,17.3962349,78.370653,.1026,.2484,.2551,6,Worst,23:33:43,1,2,2,1,2,
17.3962349,78.370653,17.3963188,78.3703969,.403,.5308,.3482,5.25,Good,23:33:48,2,2,2,2,0,
17.3963188,78.3703969,17.3964076,78.3701244,.2054,.4089,.1361,6.75,Worst,23:33:53,0,2,1,2,2,
17.3964076,78.3701244,17.39652,78.3698231,.1199,.1924,.057,6.5,Good,23:33:58,1,0,0,0,0,
17.39652,78.3698231,17.396542,78.3696585,.4233,.19,.1588,2.25,Good,23:34:03,0,1,0,2,0,
17.396542,78.3696585,17.3964597,78.3695821,.2438,.1224,.2889,2.25,Good,23:34:08,1,2,1,2,0,
