17.3982723,78.3710015,17.3980216,78.3710286,.2179,.2468,.252,4.5,SlightyBumpy,13:22:21,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,
17.3979792,78.3710365,17.3979404,78.3710417,.0571,.0375,.1738,1.5,Bumpy,13:22:26,0,0,0,1,
17.397909,78.3710439,17.3977386,78.37104,.1966,.1522,.1474,6.25,SlightyBumpy,13:22:31,0,0,1,1,0,
17.3976774,78.3710379,17.397462,78.3710061,.1309,.1586,.1867,5.75,SlightyBumpy,13:22:36,1,0,0,1,2,
17.3974051,78.3709902,17.3972303,78.3709417,.1069,.0488,.0585,4,Good,13:22:41,0,0,0,0,0,
17.3971953,78.3709291,17.3968963,78.3708532,.1026,.1648,.1108,8.25,Good,13:22:46,1,0,0,0,1,
17.3968963,78.3708532,17.3965038,78.3707441,.0508,.0851,.1444,8,Good,13:22:51,1,0,1,1,0,
17.3965038,78.3707441,17.3963785,78.3707144,.2139,.1386,.2462,1.25,Bumpy,13:22:56,0,0,0,1,0,
17.3963785,78.3707144,17.3963315,78.3707801,.091,.0774,.1483,2.75,SlightyBumpy,13:23:01,1,1,1,0,0,
17.3963191,78.3708067,17.3962381,78.3710262,.2028,.1487,.1119,5,SlightyBumpy,13:23:06,0,1,0,0,1,
17.3962381,78.3710262,17.3961703,78.3712273,.1766,.0849,.0927,4.25,SlightyBumpy,13:23:11,1,1,2,1,1,
17.3961703,78.3712273,17.3960947,78.3713951,.303,.18,.3044,4.5,Bumpy,13:23:16,2,2,2,2,0,
17.3960947,78.3713951,17.3960218,78.371592,.2668,.4063,.2579,4,Bumpy,13:23:21,0,1,1,2,2,
17.3960218,78.371592,17.395957,78.3717451,.0905,.1962,.2057,4.5,SlightyBumpy,13:23:26,2,2,1,2,2,
17.3959445,78.371785,17.3958499,78.3719927,.2262,.2206,.0988,4.75,SlightyBumpy,13:23:31,2,1,2,2,1,
17.3958499,78.3719927,17.3957444,78.3722091,.2473,.3667,.2191,5.25,Bumpy,13:23:36,1,2,1,0,2,
17.3957444,78.3722091,17.3956295,78.3724406,.2526,.325,.2267,5.5,SlightyBumpy,13:23:41,1,2,1,0,0,
17.3956295,78.3724406,17.39552,78.372701,.1799,.1669,.1559,5.75,SlightyBumpy,13:23:46,1,2,1,2,1,
17.39552,78.372701,17.3954213,78.3729461,.3159,.6029,.3578,5.5,Bumpy,13:23:51,1,2,2,2,2,
17.3954213,78.3729461,17.3953058,78.3731833,.1334,.1905,.4009,5.5,Bumpy,13:23:56,2,2,1,1,2,
17.3953058,78.3731833,17.3952059,78.3734189,.2339,.4354,.421,5.25,Bumpy,13:24:01,2,1,0,0,1,
17.3952059,78.3734189,17.3951206,78.3735894,.2752,.2147,.4644,3,Bumpy,13:24:06,1,0,2,0,0,
17.3951206,78.3735894,17.3950699,78.3736924,.1046,.1345,.1428,3.75,SlightyBumpy,13:24:11,0,0,0,0,0,
17.3950699,78.3736924,17.3949698,78.3738375,.2644,.4451,.3178,4,Bumpy,13:24:16,0,1,2,2,2,
17.3949698,78.3738375,17.3948788,78.3739651,.2313,.2221,.3853,2.25,Bumpy,13:24:21,1,0,1,1,2,
17.3948788,78.3739651,17.3948068,78.374095,.2204,.4324,.4656,4,Bumpy,13:24:26,2,1,0,1,2,
17.3948068,78.374095,17.3947227,78.3742448,.232,.4164,.2015,4.25,Bumpy,13:24:31,2,1,2,1,0,
17.3947227,78.3742448,17.3946106,78.3744073,.2966,.2657,.4031,4,Bumpy,13:24:36,0,1,1,2,2,
17.3946106,78.3744073,17.3944898,78.3745695,.1896,.4315,.3074,4.25,Bumpy,13:24:41,2,2,2,1,1,
17.3944898,78.3745695,17.394414,78.3747274,.3,.2097,.1757,3.5,Bumpy,13:24:46,2,2,2,2,2,
17.394414,78.3747274,17.3943329,78.374797,.1363,.0958,.2151,2,Bumpy,13:24:51,1,1,1,0,0,
17.3943329,78.374797,17.3943378,78.3747082,.0396,.1827,.2396,2.75,Bumpy,13:24:56,1,2,2,1,1,
17.3943378,78.3747082,17.3944753,78.3745194,.1536,.2233,.1103,4.5,SlightyBumpy,13:25:01,2,2,2,2,2,
17.3944753,78.3745194,17.3945932,78.3743304,.0523,.1869,.2995,4.5,Bumpy,13:25:06,2,1,2,2,2,
17.3945932,78.3743304,17.3947314,78.3741483,.2645,.6626,.5311,4.75,Bumpy,13:25:11,2,0,2,2,3,
17.3947314,78.3741483,17.3948258,78.3739731,.2146,.2855,.2066,4,Bumpy,13:25:17,2,2,2,2,2,
17.3948258,78.3739731,17.3949218,78.3737834,.2994,.3224,.394,5,Bumpy,13:25:21,2,2,0,0,0,
17.3949218,78.3737834,17.3950729,78.3735662,.1797,.2465,.385,5.5,Bumpy,13:25:26,0,2,2,0,2,
17.3950729,78.3735662,17.3951927,78.3733664,.2019,.4672,.3717,4.25,Bumpy,13:25:31,2,2,2,2,2,
17.3951927,78.3733664,17.3952751,78.3731789,.069,.1185,.1275,4.75,Good,13:25:36,2,1,1,2,1,2,
17.3952751,78.3731789,17.3953554,78.3729648,.2447,.4609,.2219,5.25,Bumpy,13:25:41,2,2,2,3,2,
17.3953554,78.3729648,17.3954851,78.372681,.0828,.3862,.2822,6.5,SlightyBumpy,13:25:46,2,2,2,2,2,
17.3954851,78.372681,17.3956325,78.3723737,.1692,.3091,.273,6.5,SlightyBumpy,13:25:52,1,2,2,1,2,
17.3956325,78.3723737,17.395751,78.3721104,.0976,.1946,.1903,6.25,SlightyBumpy,13:25:56,2,2,2,1,2,
17.395751,78.3721104,17.3958635,78.3718271,.1576,.2815,.2276,7.5,SlightyBumpy,13:26:02,2,2,1,2,2,
17.3958635,78.3718271,17.3959875,78.3715228,.3099,.4036,.4512,6.25,Bumpy,13:26:06,3,2,2,1,2,
17.3959875,78.3715228,17.3960221,78.3713166,.1493,.3139,.1406,5.25,SlightyBumpy,13:26:11,2,0,1,1,1,
17.3960221,78.3713166,17.3961201,78.3710269,.1696,.1256,.1983,7.75,Good,13:26:16,2,1,2,1,1,
17.3961201,78.3710269,17.3962331,78.3706943,.0967,.3842,.3248,7.5,SlightyBumpy,13:26:22,2,2,1,2,2,
17.3962331,78.3706943,17.3963258,78.3704064,.391,.5477,.5363,6,Bumpy,13:26:27,2,2,0,2,2,2,
17.3963258,78.3704064,17.3964418,78.3700865,.1067,.1582,.2272,7.25,SlightyBumpy,13:26:32,2,2,2,1,2,
17.3964418,78.3700865,17.3965407,78.3697879,.0739,.1297,.1233,7,Good,13:26:37,1,0,1,2,1,
17.3965407,78.3697879,17.3965667,78.3695713,.0942,.0916,.0977,4.5,Good,13:26:42,0,0,1,0,1,
17.3965667,78.3695713,17.3962672,78.3694627,.1271,.0724,.0797,8.5,Good,13:26:47,0,0,0,0,0,
17.3962672,78.3694627,17.3957356,78.3692771,.1331,.0392,.056,13.75,Good,13:26:52,0,0,0,0,0,
17.3957356,78.3692771,17.3952255,78.369111,.0769,.0205,.0598,9,Good,13:26:57,0,0,0,0,0,
17.3952255,78.369111,17.3949417,78.3690329,.0916,.1046,.0709,5.25,Good,13:27:02,0,0,0,0,0,
17.3949417,78.3690329,17.3947399,78.3689525,.0551,.0374,.0926,4,Good,13:27:07,0,0,0,0,0,
17.3947399,78.3689525,17.3946066,78.3689071,.0474,.0473,.0516,3.25,Good,13:27:12,0,0,0,0,0,
17.3946066,78.3689071,17.3944822,78.3688491,.0329,.0419,.0242,3.25,Good,13:27:17,0,0,0,0,0,
17.3944822,78.3688491,17.3942458,78.3687493,.29,.1682,.2503,7.25,SlightyBumpy,13:27:22,0,0,0,0,2,
17.3942458,78.3687493,17.3938037,78.3686742,.0714,.1939,.0607,11,Good,13:27:27,1,0,0,0,0,
17.3938037,78.3686742,17.3932286,78.3685881,.1027,.0348,.0793,14,Good,13:27:32,0,0,0,0,0,
17.3932286,78.3685881,17.3925048,78.3684758,.0491,.024,.1074,17.5,Good,13:27:37,1,0,0,1,1,
17.3925048,78.3684758,17.3917612,78.3683621,.0474,.0843,.1799,15.75,Good,13:27:42,1,1,1,0,0,
